,Player,Tm,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PSG,SALARY
11,Klay Thompson,GSW,SG,25.0,80.0,80.0,33.3,8.1,17.3,0.47,3.5,8.1,0.425,4.7,9.2,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,15503756.595812185
12,Carmelo Anthony,NYK,SF,31.0,72.0,72.0,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,22877475.39633503
13,Blake Griffin,LAC,PF,26.0,35.0,35.0,33.4,8.6,17.2,0.499,0.2,0.5,0.333,8.4,16.7,0.504,0.504,4.0,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4,18911064.12012347
14,Kawhi Leonard,SAS,SF,24.0,72.0,72.0,33.1,7.7,15.1,0.506,1.8,4.0,0.443,5.9,11.1,0.528,0.565,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,16403941.249090187
15,Jimmy Butler,CHI,SG,26.0,67.0,67.0,36.9,7.0,15.4,0.454,1.0,3.1,0.312,6.1,12.4,0.489,0.485,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9,16416654.434956722
16,Kemba Walker,CHO,PG,25.0,81.0,81.0,35.6,7.0,16.4,0.427,2.2,6.0,0.371,4.8,10.4,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9,12016850.989082208
17,C.J. McCollum,POR,SG,24.0,80.0,80.0,34.8,8.0,17.9,0.448,2.5,5.9,0.417,5.6,12.0,0.463,0.517,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8,2534096.469811333
18,Andrew Wiggins,MIN,SF,20.0,81.0,81.0,35.1,7.3,16.0,0.459,0.7,2.3,0.3,6.6,13.6,0.486,0.481,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7,5773917.086525143
19,Eric Bledsoe,PHO,PG,26.0,31.0,31.0,34.2,7.2,15.9,0.453,1.5,4.2,0.372,5.6,11.7,0.482,0.502,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4,13494273.733395072
20,John Wall,WAS,PG,25.0,77.0,77.0,36.2,7.4,17.5,0.424,1.5,4.3,0.351,5.9,13.3,0.448,0.467,3.5,4.5,0.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9,15856565.297447737
21,Gordon Hayward,UTA,SF,25.0,80.0,80.0,36.2,6.5,15.0,0.433,1.8,5.1,0.349,4.7,9.9,0.477,0.493,4.9,6.0,0.824,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3,19.7,15408785.281688483
22,Kyrie Irving,CLE,PG,23.0,53.0,53.0,31.5,7.4,16.6,0.448,1.6,4.9,0.321,5.8,11.6,0.502,0.496,3.2,3.6,0.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0,19.6,16410174.490274208
23,Brandon Knight,PHO,SG,24.0,52.0,50.0,36.0,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.482,3.0,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6,13509525.698167175
24,Danilo Gallinari,DEN,SF,27.0,53.0,53.0,34.7,5.4,13.2,0.41,1.6,4.5,0.364,3.8,8.7,0.434,0.472,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5,14006855.440626243
25,Chris Paul,LAC,PG,30.0,74.0,74.0,32.7,7.0,15.1,0.462,1.6,4.4,0.371,5.3,10.6,0.501,0.517,4.0,4.4,0.896,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,21461791.924318474
26,Chris Bosh,MIA,PF,31.0,53.0,53.0,33.5,6.8,14.5,0.467,1.5,4.2,0.365,5.2,10.3,0.508,0.52,4.0,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1,22197767.465576135
27,Dwyane Wade,MIA,SG,34.0,74.0,73.0,30.5,7.3,16.0,0.456,0.1,0.6,0.159,7.2,15.4,0.468,0.459,4.4,5.5,0.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,20006361.761749227
28,Reggie Jackson,DET,PG,25.0,79.0,79.0,30.7,6.8,15.7,0.434,1.5,4.2,0.353,5.3,11.5,0.464,0.482,3.7,4.3,0.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8,13906833.591037668
29,Dirk Nowitzki,DAL,PF,37.0,75.0,75.0,31.5,6.6,14.8,0.448,1.7,4.6,0.368,5.0,10.3,0.483,0.504,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3,8342247.862726214
30,Karl-Anthony Towns,MIN,C,20.0,82.0,82.0,32.0,7.6,14.1,0.542,0.4,1.1,0.341,7.3,13.0,0.559,0.555,2.7,3.4,0.811,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3,5703857.368499691
31,Khris Middleton,MIL,SG,24.0,79.0,79.0,36.1,6.4,14.5,0.444,1.8,4.6,0.396,4.6,9.9,0.466,0.507,3.5,3.9,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2,14702575.658095768
